207Pb_235U,207Pb_235U_1sigma,206Pb_238U,206Pb_238U_1sigma,Corr_coef
0.103780104,6.61012E-05,0.015666534,3.0368E-06,0.41803366452219637
0.103703184,5.52841E-05,0.015667115,2.50691E-06,0.4129810361457103
0.103637433,5.92209E-05,0.015659682,2.96871E-06,0.2002615088456106
0.103596722,9.56465E-05,0.015672456,5.29352E-06,0.3346669255885345
0.103453255,0.000178584,0.015666335,5.67116E-06,0.304363762
0.103647073,5.78287E-05,0.015666892,2.52202E-06,0.4287425844581154
0.103590015,6.41975E-05,0.015671444,3.57713E-06,0.2494891051832603
0.103647979,6.41892E-05,0.015670575,2.52498E-06,0.2510039490481312
0.103577561,5.7874E-05,0.015664296,2.54912E-06,0.21516108326697073
0.10362999,6.3528E-05,0.015666324,2.37826E-06,0.3406587201491594
0.103741908,5.52582E-05,0.015671354,1.99612E-06,0.3038769133355437
0.103607523,0.000119719,0.015668479,2.57519E-06,0.1896616088462982
0.103765876,7.33049E-05,0.015670558,2.42866E-06,0.20489911238814223
0.103576905,6.67086E-05,0.015663529,2.21338E-06,0.37921083634958297
0.103621758,8.21586E-05,0.015664219,4.04655E-06,0.35910013732218704
0.103712252,6.59919E-05,0.015671039,2.15969E-06,0.3936831877608524
0.103749565,7.01175E-05,0.015663733,2.18185E-06,0.2306792344170313
0.103733407,6.40386E-05,0.015670104,2.07119E-06,0.32413755587773746
0.103701213,6.08072E-05,0.015664808,1.36839E-06,0.32803559112042335
0.103556934,6.97033E-05,0.015657984,2.27082E-06,0.21050989325412375
0.103681191,5.74597E-05,0.015664256,2.07289E-06,0.23256691614159342
0.103644227,6.08891E-05,0.015665942,1.89583E-06,-0.549678354
0.103733903,4.68614E-05,0.015663295,1.117E-06,0.04626811
0.103771732,8.18076E-05,0.015664372,2.94182E-06,0.34188682507564644
0.103469685,0.000132624,0.015661311,2.82664E-06,0.28903578027059945
0.103685383,7.25762E-05,0.015668991,2.67479E-06,0.3929627305012757
0.103629401,9.55137E-05,0.01567788,3.3691E-06,0.4081250193620442
0.103637024,8.1614E-05,0.015665916,2.75928E-06,0.2979461001741658
0.103511627,8.35434E-05,0.015666613,2.84716E-06,0.49217099654960067
0.103565642,0.000109757,0.015660388,3.69416E-06,0.32231069196318407
0.103694296,6.32277E-05,0.015663828,1.86704E-06,-0.175969238
0.1037294,6.09844E-05,0.015672352,2.52544E-06,0.42519812175145005
0.10364243,8.0683E-05,0.015677332,3.28525E-06,0.22650681120917388
0.103592177,0.0001034,0.015668146,3.17591E-06,0.3933634522439679
0.10361292,0.000116552,0.015663518,2.8098E-06,0.27513431500816676
0.103714243,8.88325E-05,0.015662674,2.74644E-06,0.3142214154282138
0.103681627,8.11966E-05,0.015666917,2.8875E-06,0.2517027032354693
0.10345583,0.000118096,0.015659011,3.39913E-06,0.19233335436881088
0.103811375,6.18961E-05,0.015662962,1.62201E-06,0.075385439
