Sample,HiatusFraction,HiatusPercent,TotalArea,SumCalculatedAreas
RBCT,0.30478861696699605,30.4788617,1,0.9999999998848359
RBCU,0.9616680103488355,96.16680103,1,1.000000000548145
RBCV,-4.80E-35,-4.80E-33,1,0.9999999999474515
RBCZ,0.17010921898584902,17.0109219,1,1.000003802196209
RBCY,-3.60E-05,-0.003604625,1,1.0000000009480206
RBCW,0.6445174627788227,64.45174628,1,0.9999999958339505
RBFS,0.3902979853240984,39.02979853,1,1.0000001715459528
RBFT,0.2828881041971413,28.28881042,1,1.0000273876127657
RBEC,0.057099261,5.70992615,1,1.0000000012226653
RBFR,0.7553526412711472,75.53526413,1,1.0000000006740348
RBEB,-5.33E-07,-5.33E-05,1,1.0000000425263278
RBFQ,0.00960516,0.960516044,1,1.0000000001219114
