SampleName,FullSampleID,Fraction,Date_206Pb238U_Th,Date_206Pb238U_Th_2sigma,Date_207Pb235U,Date_207Pb235U_2sigma,Date_207Pb206Pb_Th,Date_207Pb206Pb_Th_2sigma,Pbrad,Pbc,Pbrad_Pbc,Th_U,Th_U_magma,Ratio_206Pb204Pb,Ratio_208Pb206Pb,Ratio_206Pb238U,Ratio_206Pb238U_2sigma,Ratio_207Pb235U,Ratio_207Pb235U_2sigma,Ratio_207Pb206Pb,Ratio_207Pb206Pb_2sigma,Corr_coef
RBCT,RBCT2,z1,267.0541459,0.22966049,266.9588294,3.052422631,266.1226966,  29.12798977130221,7.90014331724972766432301555011896250157034934010410489389597584409312856,0.44755484816680310617792834163224947083704456932766806149193545190687144,17.65178804,0.53248196,1.613468504,1088.782599,0.168215326,0.042285503,0.087469886,0.300715377,1.300293502,0.051600821,1.268912985,0.383451451
RBCT,RBCT2,z2,65.76468892,0.082835184,65.74151288, 1.516837528551280,64.89803127,  55.440945237014240,2.03691988447377954937044441982253013995694625630132436065093534624765512,0.17571626387543635780902348527562130525985479808371118734745924575234488,11.59209648,0.860353972,2.606772136,666.4852169,0.274948891,0.01024263,0.125160734,0.066887498, 2.382773877285160,0.047383371, 2.327689752556920,0.4595246741171579
RBCT,RBCT2,z3,66.92869386,0.313231639,63.51280085,7.276877679,-63.39944862, 282.293959774677460,0.35960427142736406128005278806365476496363192633608298805793060764606208,0.15453019660749484353397349747522627536815458808092447126312872035393792,2.327080916,0.815905095,2.472052502,150.3180493,0.26072294,0.010425064,0.471606441,0.064548304,11.819407270913000,0.044926086,11.568252180207520,0.5467504909996653
RBCT,RBCT2,z4,66.09166439,1.300603291,71.18730492,30.40856675128863,245.9089757, 993.85106023339300 ,1.0225176271252792686279343580192421728555412693320035103848378960983744,1.8398845069156419485149932561099651922980448043096852034282411439016256,0.555750985,0.903449932,2.737404933,49.23143864,0.288714756,0.010293873,1.984462054,0.072624895,44.23116671934540 ,0.051191656,43.14810954253040 ,0.5615135969365863
RBCT,RBCT2,z5,66.32432213,0.450339034,67.25008278,10.47522900780462,100.3097305, 372.283226177030560,0.16468045732068612875445443368554936680449711034507410090731218670816000,0.10560598125595123567023010568908042304819531951727964816854381329184000,1.559385703,0.76876802,2.329180732,107.6760737,0.245670575,0.010330337,0.684605411,0.068473767,16.098049555769660,0.048095252,15.735927752911680,0.5442163820549528
RBCT,RBCT2,z7,66.06584578,0.310091027,64.67430422,7.423451873,13.48054176, 279.01874377514280 ,0.78909782633203188943283542957397188173762153314361202213384972613694468,0.34370097686447291457089817044247200605201103910062064387750216186305532,2.295884735,1.01740402,3.082843952,142.2663748,0.325131566,0.010289827,0.472850811,0.065766745,11.847638747235340,0.046375732,11.603417294672380,0.5310258710793665
RBCT,RBCT2,z8,66.19285694,0.93373516,61.41473817,22.75841698888266,-121.1115082, 923.64545579541740 ,0.31116480624056638673945342549544017956353041276350271049364877901398016,0.43722265188910046708414917844270839813887460957842708483122187698601984,0.711685007,0.764933701,2.31755869,59.41430663,0.244447504,0.010309733,1.423161546,0.062350924,38.18890867451720 ,0.043882156,37.43063032575540 ,0.5461463300296925
RBCT,RBCT2,z11,66.27047327,1.771193348,57.95882315,42.30181739140863,-273.401692,1872.99027516826700 ,0.10370309567539233727269315006022365329049395672098422902315618208645120,0.27082679284742714922599208138330857694868426527423340007561373791354880,0.382912985,0.739219544,2.239624829,40.73719037,0.236228831,0.010321898,2.696787315044880,0.058741297,75.08884715165720 ,0.041293003,73.65981345047740 ,0.5428146385796211
RBCT,RBCT2,z12,65.63677754,0.191079835,63.11264792,4.601511239,-31.6017814, 178.686777051096260,1.55904213964259136680083779882337637094490680620882122167739103979418512,0.43220162087314786491860429548693228833855539332608543043601395220581488,3.607210303,0.935290176,2.833919338,216.8559009,0.298899419,0.010222584,0.292899099,0.064128859, 7.519886526895280,0.045518223, 7.367350673673120,0.5347349244028141
RBCT,RBCT2,z13,66.05522484,0.277822249,67.57176809,6.523207778,121.5998434, 229.934119097258920,0.4518663865834401452856195708582874910230519449916773265718199799519440,0.1841761851575623570992336142460463711552343214434036544314664200480560,2.453446336,0.740426327,2.243280871,159.7062718,0.236618027,0.010288163,0.423691189,0.068812325, 9.978528907223240,0.048531184, 9.757428825060220,0.5371674353741879
