Sample,FullSampleID,Fraction,Date_206Pb238U_Th,Date_206Pb238U_Th_2sigma
RBCT,RBCT2,z2,65.76468892,0.082835184
RBCT,RBCT2,z3,66.92869386,0.313231639
RBCT,RBCT2,z5,66.32432213,0.450339034
RBCT,RBCT2,z7,66.06584578,0.310091027
RBCT,RBCT2,z12,65.63677754,0.191079835
RBCT,RBCT2,z13,66.05522484,0.277822249
RBCU,RBCU,z1,66.33013991,0.107063442
RBCU,RBCU,z2,66.00781794,0.094401953
RBCU,RBCU,z3,66.28845259,0.111843614
RBCU,RBCU,z13,65.75693731,0.126668402
RBCU,RBCU,z19,65.84297502,0.113136115
RBCU,RBCU,z21,65.90362764,0.096667605
RBCU,RBCU,z22,65.96404956,0.416130614
RBCU,RBCU2,z1,65.73298494,0.252683316
RBCU,RBCU2,z2,66.12605216,0.069367506
RBCU,RBCU2,z3,65.94381285,0.159918479
RBCU,RBCU2,z4,66.05056309,0.089449903
RBCU,RBCU2,z5,65.85466351,0.043133827
RBCU,RBCU2,z7,66.0296357,0.091527784
RBCU,RBCU2,z8,65.84352141,0.039769337
RBCU,RBCU2,z10,65.92955565,0.054398866
RBCU,RBCU2,z11,66.22460153,0.078005075
RBCU,RBCU2,z12,65.76106491,0.098242267
RBCU,RBCU2,z13,66.12868092,0.365564465
RBCU,RBCU2,z14,65.77707868,0.081673007
RBCV,RBCV-A,z1,65.51719855,0.20199134
RBCV,RBCV-A,z3,65.66927222,0.152430923
RBCV,RBCV-A,z8,65.37366631,0.152114561
RBCV,RBCV-A,z9,65.41392405,0.075328309
RBCV,RBCV-A,z11,65.53951391,0.1299492
RBCV,RBCV-B,z1,65.34207883,0.121514056
RBCV,RBCV-B,z2,65.48806316,0.055663664
RBCV,RBCV-B,z3,65.58076225,0.128361429
RBCV,RBCV-B,z5,65.53241602,0.097565707
RBCV,RBCV-B,z7,65.42724153,0.161317854
RBCV,RBCV-B,z11,65.78269782,0.127657054
RBCV,RBCV-B,z13,65.50057052,0.088932965
RBCV,RBCV2,z4,65.51013396,0.070415604
RBCV,RBCV2,z5,65.64811504,0.119060769
RBCV,RBCV2,z6,65.55071932,0.148040088
RBCV,RBCV2,z8,65.49985109,0.033466703
RBCV,RBCV2,z11,66.09464995,0.261254783
RBCW,RBCW-Greenbole,z1,65.80389273,0.193432915
RBCW,RBCW-Greenbole,z3,65.64029769,0.435326536
RBCW,RBCW-Greenbole,z11,65.76358279,0.455435907
RBCW,RBCW2,z1,65.60696757,0.348102281
RBCW,RBCW2,z3,65.8866797,0.09852187
RBCW,RBCW2,z4,65.90668852,0.094411375
RBCW,RBCW2,z5,65.82343458,0.071751134
RBCW,RBCW2,z6,65.62927847,0.140913679
RBCW,RBCW2,z7,65.86539227,0.079227494
RBCW,RBCW2,z8,66.13497908,0.040461407
RBCW,RBCW2,z9,65.88919611,0.112699977
RBCW,RBCW2,z12,65.66546538,0.40076873
RBCY,RBCY,z2,65.70832122,0.456373244
RBCY,RBCY,z4,66.10519669,0.237312798
RBCY,RBCY2,z5,65.55969873,0.093740047
RBCY,RBCY2,z6,65.58870261,0.267301391
RBCY,RBCY2,z8,65.73547024,0.085075468
RBCY,RBCY2,z9,65.70581831,0.28137598
RBCY,RBCY2,z10,65.5175223,0.406039312
RBCY,RBCY2,z11,66.19572507,0.333455088
RBCZ,RBCZ,z1,65.88951762,0.293218305
RBCZ,RBCZ2,z2,66.01687567,0.05485013
RBCZ,RBCZ2,z3,65.88966388,0.131615535
RBCZ,RBCZ2,z5,65.86332024,0.210321264
RBEB,RBEB,z6,66.14485171,0.184695743
RBEB,RBEB,z8,66.1441318,0.054322277
RBEB,RBEB,z9,66.16590259,0.08360263
RBEB,RBEB,z12,66.19113668,0.126527636
RBEC,RBEC,z1,67.25206816,0.2985999
RBEC,RBEC,z8,66.26362329,0.423699131
RBFQ,RBFQ,z9,66.83628572,0.072427167
RBFQ,RBFQ,z20,66.32816722,0.235625081
RBFR,RBFR,z1,65.83000568,0.161160879
RBFR,RBFR,z8,65.8882385,0.314774188
RBFS,RBFS,z1,65.4299421,0.471916213
RBFS,RBFS,z6,66.0968622,0.28401893
RBFS,RBFS,z7,65.89373662,0.123122586
RBFS,RBFS,z8,66.06177816,0.442129314
RBFS,RBFS,z9,66.04300121,0.215353644
RBFS,RBFS,z11,65.65572289,0.233641342
RBFT,RBFT,z1,65.70040834,0.320030864
RBFT,RBFT,z4,66.1568876,0.100192994
RBFT,RBFT,z13,65.99018806,0.05702967
