Sample ID,Ti,Y,Zr,Nb,In,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Th,Ti_uncert,Y_uncert,Zr_uncert,Nb_uncert,In_uncert,La_uncert,Ce_uncert,Pr_uncert,Nd_uncert,Sm_uncert,Eu_uncert,Gd_uncert,Tb_uncert,Dy_uncert,Ho_uncert,Er_uncert,Tm_uncert,Yb_uncert,Lu_uncert,Hf_uncert,Ta_uncert,Th_uncert
RBCT-B-TOP_z1,-5.042923634,2661.326536,478900.3725,-1.510976595,0,4.719313133,12.94172295,2.242077554,11.86461868,11.40206566,3.816120411,50.56573678,21.02436753,194.5134688,74.93085993,338.0471282,65.72130749,480.3482033,114.0665675,14018.47209,1.041827893,680.0944555,7.699192304,0.00340081,0.000300769,19.90989169,0.000400792,5.375684128,0.946864727,10.12149085,12.58839133,12.16466697,29.35591339,1.094882219,0.69744845,0.239841348,0.106542593,0.078408286,0.179739353,0.062909177,0.051516314,0.001407755,14.05476941,0.28503597
RBCT-B-TOP_z2,222.7931783,-6060.039654,542094.269,36.50503768,0,-17.66045348,-19.80758246,-7.715061897,-34.98878721,-25.83432322,-16.54538451,-19.98974128,-31.38400899,-84.78257307,-69.78154318,-298.3493127,-54.68700741,-277.1465751,-182.0172713,-33076.66984,7.951228384,-4215.326163,7.956827771,1.280021272,0.01881215,122.4274889,0.000635798,26.51759889,6.59529511,140.5602373,117.245639,179.9085914,511.3587784,162.7608708,313.2608379,102.8656727,104.8698843,37.78095865,91.91961269,42.76100434,47.30782365,1.658890573,121.7295672,37.69198922
RBCT2_z6,39.86508049,2120.341528,475470.7185,-1.062821386,0,3.510745621,26.99687804,1.533687672,6.955468707,7.55272536,4.460122129,17.52319274,10.74144711,84.29444826,42.48910419,206.9195035,48.75230989,418.6641656,124.3654639,17967.42958,-0.764914314,1084.578878,4.418279071,0.009646307,9.75526E-05,19.11829384,0.000579827,30.55526858,0.55045087,118.2008133,81.30644247,43.52263581,52.57357409,12.89417137,11.62005136,1.54015408,0.682642957,0.220935378,0.332252113,0.109826075,0.095341464,0.001802306,34.54802037,0.031786515
RBCT2_z9,-30.54363647,1009.237366,485546.7319,3.296364513,0,0.535860272,23.75062518,0.179267883,1.757415651,3.015081357,1.243534747,14.42895808,5.490414427,61.70245265,26.42191675,141.0210286,32.83348312,328.5915232,77.09283222,9966.089359,23.87076248,378.7098207,12.27570227,0.001097735,2.04704E-05,2.96094085,0.000615493,15.09689035,0.043775166,26.20777701,10.6944366,3.007818489,4.817963452,0.428027203,0.324733663,0.083519449,0.028560081,0.024913688,0.032649236,0.007775743,0.012854295,0.000387191,2.819243465,0.002144745
RBCT2_z10,1923.281729,-11828.98995,583324.2093,28.65437221,0,-30.15104189,-29.32426782,-7.406368199,-46.25927766,-32.85126001,-15.65763932,-46.20496774,-16.64944889,-32.73669285,-68.3620244,-353.5111854,-57.76568139,-303.3375011,-130.7168113,-63080.39277,-1343.126926,-8283.419822,11.52373982,54.58105874,0.172455894,48.10232947,0.000320773,25.64044544,10.62086417,152.539359,132.9479632,392.3290512,162.4814109,165.9445411,234.5633255,1054.08773,914.2738334,566.2226693,1227.682907,548.4509352,547.7826778,8.476381098,97.69595094,60.62937384
RBCT2_z14,-4.115585219,1244.149857,485743.8869,4.602909863,0,3.154604235,21.01527817,0.883519845,4.252376887,2.927640134,0.482115213,17.20696131,6.791446505,87.59748185,37.33497884,197.4448232,47.51457452,435.9919902,98.82804158,9404.5144,0.495266479,286.9248103,8.368388178,0.000665689,1.44699E-05,1.052440263,0.000707619,0.428169929,0.029929176,1.493398627,2.109394519,2.748562009,10.93251803,0.472177432,0.217354255,0.023585131,0.023527641,0.00870994,0.01554897,0.00570177,0.006583252,0.000371053,1.186762842,0.003286994
RBCU_z5,-5689.333193,-5673.615697,540478.4283,-688.7323039,0,-24.27910334,-34.49422776,-12.64190221,-44.10242885,-24.76177098,-15.85847706,-17.59262522,-29.37791541,-68.77345774,-63.96767735,-266.672627,-49.55224903,-242.1553518,-170.0081202,-31356.02859,7.640186207,-4057.454005,0.312474868,34.84592554,0.577489624,0.165601026,0.00030785,3.194656269,2.36734944,13.6454944,24.60626101,181.8774444,250.4222392,281.560674,406.3441669,523.7812644,439.2034738,1124.528123,430.2405063,645.360401,1563.465438,39.01805711,124.3922932,6.919351029
RBCU_z7,46.33107109,1180.419214,486898.6258,9.199380316,0,5.725734773,23.71940545,2.140146705,11.34281302,6.849585181,1.187594424,28.08522838,9.697677433,106.5186805,39.71526681,179.0156571,35.27754687,280.1971553,57.0800899,8617.514023,2.643568118,151.0454588,0.662055177,0.000876257,1.84295E-05,0.716320532,0.00052269,0.213120006,0.041479483,0.620040594,0.41136483,0.816113684,3.424685334,0.3047969,0.150420668,0.027551271,0.019207477,0.010004876,0.019581357,0.005982829,0.010713893,0.0002635,0.726502241,0.011862922
RBCU_z8,-562.2728804,-5766.738781,540380.6711,40.45245881,0,-22.19417778,-44.10145388,-7.665417739,-33.93977338,-25.39543254,-16.66894277,-17.80434849,-29.72167497,-72.04828025,-65.74231515,-271.26796,-50.24948216,-252.5769354,-172.4174799,-31838.2603,9.140271445,-4097.471037,2.597993928,19.65335787,1.567346574,188.8519393,0.000346478,5.420523585,1.898374917,39.41176155,91.4145391,166.8983004,151.5607766,231.560219,768.1317968,348.4588396,178.7414648,145.3149064,361.7063012,69.68631223,330.0414197,27.48772003,235.701129,14.06949539
RBCU_z9,201.0961129,-5687.011866,539768.0582,33.9735319,0,-16.94533881,-19.00552532,-7.402660298,-33.57200622,-24.78822871,-16.23001823,-17.61142278,-29.3996146,-68.84694156,-64.03602624,-266.9575643,-49.60519516,-242.4140926,-170.1897723,-31413.34926,8.908606421,-4037.574756,7.818948326,14.04672702,0.250147198,79.93027363,0.000479619,42.08782746,17.05419511,217.7877576,394.4051832,369.5834536,171.4434014,367.7869932,669.0183742,910.9405381,1613.736606,499.7904841,643.1795909,304.8477612,547.782974,15.29366048,388.9412268,355.7764529
