Sample ID,Ti,Y,Zr,Nb,In,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Th,Ti_uncert,Y_uncert,Zr_uncert,Nb_uncert,In_uncert,La_uncert,Ce_uncert,Pr_uncert,Nd_uncert,Sm_uncert,Eu_uncert,Gd_uncert,Tb_uncert,Dy_uncert,Ho_uncert,Er_uncert,Tm_uncert,Yb_uncert,Lu_uncert,Hf_uncert,Ta_uncert,Th_uncert,,ZrHf,ZrHf_uncert
STD_ZrHf_1_01,1777.737205,281.614722,485915.5751,0.20334428,0,2.267688066,2.811525448,0.547164731,1.900268494,1.396127088,0.803021113,1.308914651,1.518356371,3.50729348,3.266758963,13.42902249,2.788169139,11.93081695,8.648012538,11195.45979,0.095813347,196.9281173,2.956284267,218.5300915,2.374428327,30.07253274,2.880353639,8.149201639,7.830557155,23.06545031,18.62744348,34.3707371,47.46495816,26.7416024,77.51360756,97.97465503,118.3589669,114.3328415,159.4462266,69.53789106,157.4667408,3.091678485,13.88328171,88.48046317,,,
STD_ZrHf_1_02,1736.375798,276.7257762,485911.7945,0.56592149,0,2.257616125,2.836661553,0.533944237,2.023750673,1.352834441,0.792349748,1.048199141,1.496023995,3.405494403,3.141750847,13.02252283,2.467704185,11.85658741,8.36394063,11206.09593,0.193837303,196.0246648,6.222916334,130.935115,2.128935018,21.41598525,2.809328463,7.343464376,7.263422201,11.97192487,12.65510326,31.64222179,51.82345122,35.90501418,52.24684331,67.72026657,101.8508775,46.74646789,75.45060493,41.28347295,68.7237997,2.490134908,16.55833082,43.15686025,,,
STD_ZrHf_1_03,1845.889444,271.6586398,486026.9776,-0.062793524,0,2.23326701,2.822388755,0.499814342,1.836745279,1.320140004,0.806460178,0.962825171,1.437039356,3.397516677,3.094443315,12.79943898,2.407842599,11.56196789,8.171793586,11100.25123,0.214271158,193.6093715,2.579713042,16.13453139,3.651319622,29.60992793,4.462904016,5.500698404,8.653807165,14.19548082,9.448747466,27.35763812,36.61860622,30.66998554,71.1806008,69.00670201,83.14801084,96.28232205,44.36867205,72.12217057,40.96350023,3.868824949,22.66984256,26.79899394,,,
STD_ZrHf_1_04,1882.162198,272.6114553,486189.4813,0.491975289,0,2.266191694,2.741653929,0.5076233,1.989507448,1.304923912,0.776297046,1.069676679,1.431544201,3.334650147,3.081940866,12.77970143,2.398023843,11.60476473,8.239895546,10935.28015,0.348208704,194.2604874,2.563197523,22.40449619,1.48690762,22.63997364,2.219497947,4.98973415,7.754731219,14.51566343,21.87701902,36.6938659,40.25385832,35.3174651,61.65813087,100.1729946,60.36933793,72.12217057,78.31564367,73.36179607,52.63975592,1.486257197,27.60199444,30.31426785,,,
STD_ZrHf_1_06,1878.165018,269.2571621,486425.4596,0.347433578,0,2.274007572,2.941667639,0.486845943,1.734208728,1.2098161,0.748515986,0.943595025,1.391094376,3.312156954,3.019257708,12.58687853,2.343568137,11.42966953,8.084821864,10707.1062,0.117246249,191.2062821,2.313116261,74.63280991,2.138888422,29.87157089,1.551577678,6.952767748,4.413686227,17.54820803,20.99520635,35.62147704,50.84396737,43.68172984,23.57022604,57.73504232,89.36510242,74.53562904,92.90740171,70.41794305,56.5194873,0.955748025,22.04079296,23.05089178,,,
STD_ZrHf_1_07,1830.938256,266.7783526,486477.3944,0.347409897,0,2.322807365,2.956530841,0.471428617,1.757602399,1.247734243,0.771169957,1.019161593,1.385780315,3.224023784,3.041687602,12.50131839,2.322954736,11.35197559,8.056902476,10659.09563,0.234328481,189.7188411,12.87910295,19.31466089,1.365767768,25.55510213,1.332077235,4.819751796,4.982415327,14.39543846,9.328683887,16.91961337,32.45249579,30.33890655,40.82485082,126.8850197,63.87410816,100.751712,110.4921691,70.71068127,81.31308456,1.322298347,25.85787062,32.26781648,,,
STD_ZrHf_1_08,1900.675461,267.6272843,486424.991,0.418544895,0,2.251561816,2.895534592,0.481785937,1.775047557,1.165381116,0.76313109,0.972925797,1.406986134,3.234901104,3.01010735,12.54349576,2.335504916,11.39027527,8.013599036,10709.91577,0.223807489,190.5833643,4.187788369,29.16867959,3.061324867,16.26378178,3.234873127,6.510860648,5.640184888,13.36967657,21.05584278,38.65154938,16.80132739,34.30024363,59.57676947,79.05707326,67.07866184,83.41978285,79.20641193,87.90812808,76.20400082,3.182724738,25.00732228,26.15354537,,,
STD_ZrHf_1_09,1799.46966,252.2245376,486887.1021,0.427620853,0,2.04436794,2.849210741,0.42204855,1.522689622,1.117875283,0.694849922,0.920661525,1.303223492,3.383476345,2.901176809,12.16748149,2.320516824,12.29128446,7.774049841,10276.43089,0.335621936,177.7663346,3.176196075,156.4552887,16.39720273,38.15134018,2.307421778,5.90480745,10.06136741,10.11898318,13.8792432,21.77347066,36.0485873,20.8917922,59.84379869,102.8845911,155.7222489,152.7751753,209.203452,214.1805811,178.7619003,9.80890564,26.34468024,83.42698046,,,
STD_ZrHf_2_01,1870.532855,392.0073812,485345.263,0.422561792,0,1.840536034,1.077794845,0.353705907,1.527448544,1.08472531,0.517004147,1.525655269,0.549752996,1.080942383,2.257265568,11.67268866,1.972373173,10.01598918,4.478289302,11547.86983,46.18171366,274.3013269,2.359843559,27.80573781,2.035357625,23.85191831,2.254942936,4.022747729,8.501037925,8.394450713,17.51430166,31.94741792,34.42337169,28.66067798,54.43317071,89.19252395,73.70290443,63.56420151,46.89431085,69.00667277,47.55459471,1.456343374,7.548951705,28.44043631,,,
STD_ZrHf_2_02,1857.742333,393.1058639,485348.5048,0.791068789,0,1.900484289,1.223968427,0.352990972,1.529186239,1.085959342,0.517592314,1.527390924,0.55037842,1.082172112,2.277782262,11.68596803,2.071005692,10.02738382,4.593643143,11542.36929,45.78913137,275.0139655,2.376130747,127.2572203,1.488094026,25.00441081,1.535734382,7.098229004,6.455804559,10.14433283,20.72544107,33.40116076,16.12171538,33.27992365,45.73775004,125.051598,128.4099856,83.1485034,164.7468278,147.5426619,133.6406564,1.847577595,3.100337768,130.1226437,,,
