Sample,Age summary,Age,2.5% CI,97.5% CI,sigma
RBCT,65.62 +0.147/-0.247,65.61987198724634,65.37293445509181,65.76701718079546,0.10072542488576926
RBCU,65.7662 +0.0577/-0.0702,65.76619477540385,65.69597500708971,65.82389992800049,0.033044696937539496
RBCV,65.4023 +0.06/-0.0723,65.40230518853446,65.33000087058107,65.46228541024115,0.03446995136000175
RBCZ,65.911 +0.0982/-0.16,65.91085652746352,65.75068424684652,66.00902558734482,0.07134339720564155
RBCY,65.514 +0.113/-0.163,65.51396283593348,65.351249291309,65.62735204192317,0.07038244546958601
RBCW,65.697 +0.113/-0.163,65.69687247247192,65.53361026603325,65.80945789658169,0.07298075677726107
RBFS,65.679 +0.236/-0.366,65.67892894213848,65.31307176209576,65.91493096228406,0.16599613900899912
RBFT,65.796 +0.215/-0.347,65.79589082935323,65.44930092019963,66.01114416456123,0.16353075622233823
RBEC,66.229 +0.384/-0.516,66.22889699137785,65.7133366068007,66.61336755879489,0.23007104547576357
RBFR,65.809 +0.0942/-0.142,65.80937135999726,65.66725581052802,65.90356481766817,0.060405390023625605
RBEB,66.1431 +0.0327/-0.0465,66.14311307113569,66.09657210332755,66.1758366206154,0.020203051352837096
RBFQ,66.314 +0.231/-0.277,66.31397943586295,66.03720899788517,66.54503210819823,0.13029375016525663
