Sample,Age summary,Age,2.5% CI,97.5% CI,sigma
RBCT,65.589 +0.165/-0.318,65.58863821273127,65.27051303518377,65.75385405828274,0.12422630314407102
RBCU,65.7482 +0.0641/-0.0822,65.74822830446877,65.66598393504205,65.81231376814853,0.037247239588725285
RBCV,65.373 +0.0722/-0.0855,65.37332424593693,65.28785077197584,65.44554851976108,0.04046025527671945
RBCZ,65.904 +0.105/-0.177,65.90350813804015,65.72645898639634,66.00842266484315,0.07723286372401043
RBCY,65.49 +0.126/-0.207,65.49025301982222,65.28276833080284,65.61587122475974,0.08497225960474167
RBCW,65.65 +0.128/-0.152,65.6501701577822,65.49785920193665,65.77845816238535,0.0720225693298378
RBFS,65.65 +0.257/-0.374,65.65007643367521,65.2761862979233,65.90679569567243,0.17216411198187634
RBFT,65.77 +0.232/-0.339,65.7698904557998,65.4306368018012,66.0014293144143,0.15573352360590176
RBEC,66.187 +0.389/-0.623,66.18732089947356,65.56444613959039,66.5763164140993,0.26103716574367075
RBFR,65.807 +0.094/-0.154,65.80676265328074,65.65307553814216,65.90075649133779,0.0639037276957145
RBEB,66.1415 +0.0341/-0.0519,66.14154147843763,66.08968387315046,66.1756632780972,0.02233772614970863
RBFQ,66.296 +0.225/-0.337,66.2955838076584,65.95896219094968,66.52093779188237,0.1410030239099669
