Sample,Age summary,Age,2.5% CI,97.5% CI,sigma
RBCT,65.531 +0.207/-0.505,65.53098055152765,65.0256687541864,65.73774117317865,0.19458490360680983
RBCU,65.718 +0.0771/-0.115,65.7179417005959,65.60310683812851,65.7950255295389,0.048987192468946825
RBCV,65.353 +0.0809/-0.106,65.3532972440196,65.24742858106255,65.43417547183623,0.0472379824577917
RBCZ,65.871 +0.133/-0.239,65.87075141571282,65.63219830979128,66.00351192878648,0.10239772481181589
RBCY,65.442 +0.157/-0.322,65.44244379121696,65.12034587784477,65.59917578975572,0.12444692031323375
RBCW,65.586 +0.149/-0.211,65.58625631414921,65.37571842790165,65.73495406410682,0.09011906706882274
RBFS,65.542 +0.335/-0.46,65.5424332641021,65.08229032149362,65.87788337229824,0.20754854831089503
RBFT,65.684 +0.288/-0.494,65.68438260283936,65.19084155745823,65.97238585530086,0.2185925851689758
RBEC,66.104 +0.431/-0.993,66.10447301756385,65.11165499994182,66.53586826512834,0.40032695726068873
RBFR,65.794 +0.105/-0.207,65.79356030623303,65.58677724926726,65.8984052723749,0.10075735647208753
RBEB,66.1371 +0.0369/-0.0692,66.13712277792754,66.0679015324661,66.17400641633266,0.02941908156905005
RBFQ,66.251 +0.233/-0.499,66.25099628479566,65.75221292280213,66.48416378293221,0.2124435139377491
