,,Dates (Ma),,,,,,Composition,,,,,Isotopic Ratios,,,,,,,,,
,,206Pb/,,,,207Pb/,,,,,,,,,,,,,,,,
,,238U,+/-2sigma,207Pb/,+/-2sigma,206Pb,+/-2sigma,Pb*,Pbc,Pb*/,Th/,Th/U,206Pb/,208Pb/,206Pb/,,207Pb/,,207Pb/,,Corr.,
Sample ID,Included?,<Th> a,abs ,235U b,abs ,<Th> a,abs ,(pg) c,(pg) d,Pbc e,U f,(magma) g,204Pb h,206Pb i,238U i,+/-2sigma % ,235U i,+/-2sigma % ,206Pb i,+/-2sigma % ,coef. ,
,Included?,,,,,,,,,,,,,,,,,,,,,
"RBCT2 (N 22.88536¡, E 79.82668¡, 430m elevation)",,,,,,,,,,,,,,,,,,,,,,
z1      ,,267.0541459,0.22966049,266.9588294,3.052422631,266.1226966,29.12798977,7.900143317,0.447554848,17.65178804,0.53248196,1.613468504,1088.782599,0.168215326,0.042285503,0.087469886,0.300715377,1.300293502,0.051600821,1.268912985,0.383451451,
z2      ,x,65.76468892,0.082835184,65.74151288,1.516837529,64.89803127,55.44094524,2.036919884,0.175716264,11.59209648,0.860353972,2.606772136,666.4852169,0.274948891,0.01024263,0.125160734,0.066887498,2.382773877,0.047383371,2.327689753,0.459524674,
z3      ,x,66.92869386,0.313231639,63.51280085,7.276877679,-63.39944862,282.2939598,0.359604271,0.154530197,2.327080916,0.815905095,2.472052502,150.3180493,0.26072294,0.010425064,0.471606441,0.064548304,11.81940727,0.044926086,11.56825218,0.546750491,
z4      ,,66.09166439,1.300603291,71.18730492,30.40856675,245.9089757,993.8510602,1.022517627,1.839884507,0.555750985,0.903449932,2.737404933,49.23143864,0.288714756,0.010293873,1.984462054,0.072624895,44.23116672,0.051191656,43.14810954,0.561513597,
z5      ,x,66.32432213,0.450339034,67.25008278,10.47522901,100.3097305,372.2832262,0.164680457,0.105605981,1.559385703,0.76876802,2.329180732,107.6760737,0.245670575,0.010330337,0.684605411,0.068473767,16.09804956,0.048095252,15.73592775,0.544216382,
z7      ,x,66.06584578,0.310091027,64.67430422,7.423451873,13.48054176,279.0187438,0.789097826,0.343700977,2.295884735,1.01740402,3.082843952,142.2663748,0.325131566,0.010289827,0.472850811,0.065766745,11.84763875,0.046375732,11.60341729,0.531025871,
z8      ,,66.19285694,0.93373516,61.41473817,22.75841699,-121.1115082,923.6454558,0.311164806,0.437222652,0.711685007,0.764933701,2.31755869,59.41430663,0.244447504,0.010309733,1.423161546,0.062350924,38.18890867,0.043882156,37.43063033,0.54614633,
z11     ,,66.27047327,1.771193348,57.95882315,42.30181739,-273.401692,1872.990275,0.103703096,0.270826793,0.382912985,0.739219544,2.239624829,40.73719037,0.236228831,0.010321898,2.696787315,0.058741297,75.08884715,0.041293003,73.65981345,0.542814639,
z12     ,x,65.63677754,0.191079835,63.11264792,4.601511239,-31.6017814,178.6867771,1.55904214,0.432201621,3.607210303,0.935290176,2.833919338,216.8559009,0.298899419,0.010222584,0.292899099,0.064128859,7.519886527,0.045518223,7.367350674,0.534734924,
z13     ,x,66.05522484,0.277822249,67.57176809,6.523207778,121.5998434,229.9341191,0.451866387,0.184176185,2.453446336,0.740426327,2.243280871,159.7062718,0.236618027,0.010288163,0.423691189,0.068812325,9.978528907,0.048531184,9.757428825,0.537167435,
z15     ,,829.8292234,0.284403668,834.2122621,1.231837456,845.9029571,4.340038931,35.61781929,0.411606526,86.53366031,0.434742035,1.317368136,5350.405888,0.13321159,0.137368538,0.036400386,1.274076296,0.216537486,0.067297765,0.206097679,0.29750879,
,,,,,,,,,,,,,,,,,,,,,,
"RBCU (N 22.85403¡, E 79.77509¡, 497m elevation)",,,,,,,,,,,,,,,,,,,,,,
z1,x,66.33013991,0.107063442,65.79895362,2.295201159,46.52411718,84.24283089,1.876965986,0.277989364,6.751934538,0.585582952,1.774023022,423.1394356,0.187131145,0.01033125,0.160026832,0.066947854,3.602445158,0.047019485,3.524689106,0.501936194,
z2,x,66.00781794,0.094401953,65.36293344,1.049737279,41.81656508,38.44224992,2.915844466,0.181701216,16.04746808,0.579005136,1.754087839,981.828747,0.18503327,0.010280733,0.140692735,0.066489789,1.658259347,0.046927229,1.606467781,0.402506596,
z3,x,66.28845259,0.111843614,65.08585442,2.307506014,21.08936238,85.893493,1.16322691,0.166342583,6.992959286,0.634679754,1.922805416,432.4442131,0.202821299,0.010324716,0.167877958,0.066198804,3.660167651,0.046522827,3.576632495,0.513981862,
z4      ,,66.02663469,1.282603928,57.23482503,31.54322141,-296.909844,1421.55351,0.373840303,0.73272804,0.510203354,0.790720955,2.395715463,47.73310597,0.252691195,0.010283682,1.959695668,0.057986652,56.67979688,0.040914143,55.64432097,0.540842198,
z6      ,,2159.446089,1.015296073,2346.316375,0.95944899,2513.017861,1.434687322,43.64373314,0.460217457,94.83285012,0.609668911,1.847470588,5254.321218,0.173493403,0.397906789,0.055326949,9.082181745,0.104895368,0.165616231,0.078842853,0.584279258,
z11     ,,64.34169853,0.399934311,57.51364523,9.019844037,-218.3966086,397.8528154,3.167267859,1.808862384,1.750972262,0.676660352,2.05001464,121.4482831,0.216266358,0.01001965,0.626550125,0.058277211,16.13131607,0.042202702,15.81799735,0.514580809,
z12     ,,65.58443477,0.918599461,58.26705726,22.82902193,-233.098423,998.1182234,3.031997439,4.289719772,0.706805479,0.84304765,2.554314189,58.41588637,0.269421601,0.010214382,1.412667343,0.059062742,40.31488997,0.041956145,39.570011,0.539925335,
z13     ,x,65.75693731,0.126668402,64.60547488,2.74724087,22.15686576,102.8646173,1.388505092,0.216632885,6.409484373,1.052406174,3.188955772,361.0227315,0.336324465,0.010241415,0.193398837,0.065694503,4.38904995,0.04654394,4.284676497,0.554666903,
z14     ,,66.05450935,0.836630079,63.8148018,6.051071258,-19.40190026,230.6017315,1.186295921,0.446518419,2.656768168,0.709774528,2.15038381,172.9224522,0.226822648,0.010288051,1.274523131,0.064864975,9.783328606,0.045747906,9.529638442,0.261561141,
z16     ,,65.56859856,0.530799738,59.93646404,12.92502987,-159.6846052,541.4203734,0.561812322,0.465340717,1.207313912,0.68247887,2.067657103,89.3477417,0.218107181,0.0102119,0.81668578,0.060805395,22.20727383,0.043204562,21.77616604,0.541109345,
z17     ,,66.07629046,0.594053744,63.44527864,13.93244769,-34.72096826,537.5942304,0.367710913,0.313002222,1.174786909,0.735095024,2.227123127,86.4085891,0.234913957,0.010291464,0.90694373,0.064477515,22.65299926,0.04545939,22.15142943,0.566903236,
z18     ,,81.69497896,1.478769183,87.04975065,34.50557032,236.4941993,931.6525797,0.135005023,0.23786015,0.567581511,0.723249511,2.191307946,51.31246879,0.23088829,0.012742243,1.827458733,0.089513152,41.36232343,0.050972208,40.37886776,0.553840975,
z19     ,x,65.84297502,0.113136115,65.64278568,1.698374515,58.35130692,62.21311992,1.821250898,0.165054057,11.03426919,1.177712567,3.568864029,591.1218398,0.376367203,0.010254898,0.172339811,0.066783768,2.671831309,0.047253291,2.609014162,0.391325113,
z20     ,,66.62109944,0.873047185,59.94107601,20.54612406,-199.4307851,867.2100808,0.269070862,0.344654108,0.780698258,0.661928679,2.005385678,64.60822392,0.211524197,0.010376852,1.322417244,0.060810214,35.2988989,0.042520991,34.6084065,0.535757708,
z21     ,x,65.90362764,0.096667605,65.06656318,1.963018875,34.38776181,72.92090712,2.120640442,0.260473567,8.141480413,0.666024088,2.017791972,496.4539169,0.212843554,0.010264405,0.145467069,0.066178548,3.114635815,0.046781695,3.0440473,0.501951943,
z22     ,x,65.96404956,0.416130614,64.48996323,9.712159877,10.12267575,365.8972053,0.426442096,0.252563043,1.688458023,0.819534114,2.483046293,113.9767493,0.261900174,0.010273873,0.635948674,0.065573275,15.54326889,0.046311105,15.20623448,0.544629625,
z23     ,,66.17356485,0.535647328,63.61427735,6.840543116,-31.6509375,262.5450593,0.48556915,0.191227699,2.539219757,0.728714815,2.207787026,165.4166704,0.232873457,0.01030671,0.814883364,0.0646547,11.09351947,0.045516886,10.82427542,0.363068496,
z24     ,,106.4881512,0.382844537,140.5594552,6.968662915,762.9261647,108.5572095,1.403173276,0.372756758,3.764313443,1.041316408,3.155400698,217.7125829,0.331920917,0.016644834,0.362863356,0.148469262,5.308873441,0.064721648,5.149511944,0.466489456,
,,,,,,,,,,,,,,,,,,,,,,
"RBCU2 (N 22.85403¡, E 79.77509¡, 497m elevation)",,,,,,,,,,,,,,,,,,,,,,
z1      ,x,65.7329849,0.25268332,62.9403677,4.76233871,-42.018606,185.1425044,1.890577957,0.558654036,3.38416593,0.68829329,2.0852795,216.320534,0.21996282,0.01023766,0.3867281,0.06394832,7.803361807,0.04532323,7.617894092,0.49848849,
z2      ,x,66.1260522,0.06936751,65.8509206,1.15460674,55.8647926,42.23004281,1.720419799,0.127805357,13.4612495,0.49294767,1.49331865,845.002983,0.15753049,0.01029926,0.09935761,0.06700246,1.81083484,0.04720381,1.7693918,0.436860691,
z3      ,x,65.9438129,0.15991848,65.5859399,3.74934482,52.548308,137.9379181,3.902881371,0.84899622,4.59705388,1.09603308,3.32122053,261.617123,0.35026203,0.0102707,0.24386503,0.06672405,5.903304486,0.04713839,5.778782382,0.525524776,
z4      ,x,66.0505631,0.0894499,66.3945645,1.250477,78.8091033,45.05897674,2.089675348,0.140021192,14.9239934,1.13821781,3.44911777,799.702748,0.3637404,0.01028743,0.13542948,0.0675739,1.9456503,0.04766115,1.89671762,0.389587231,
