Sample,Age summary,Age,2.5% CI,97.5% CI,sigma
RBCT,65.395 +0.322/-0.996,65.39515909014001,64.39900557889474,65.71682994183602,0.38024557892502414
RBCU,65.659 +0.112/-0.214,65.65880062062209,65.44483544168494,65.77048687004901,0.08470536233023031
RBCV,65.316 +0.0976/-0.164,65.3155110312709,65.15115556825353,65.41312131715793,0.06655414369909825
RBCZ,65.863 +0.14/-0.281,65.86281432219984,65.58183263797747,66.00252395996085,0.11730120035505841
RBCY,65.359 +0.225/-0.547,65.3588210488615,64.8121497282411,65.58375179457686,0.2108902123363909
RBCW,65.5 +0.189/-0.335,65.50027632712393,65.16560637714116,65.68940763744459,0.13477656833580365
RBFS,65.474 +0.386/-0.569,65.47434506696142,64.90579446087436,65.86072257212687,0.24562810044613245
RBFT,65.659 +0.3/-0.546,65.65901580840068,65.112612306154,65.95853714407859,0.22048675394582495
RBEC,66.098 +0.432/-1.0,66.0982369922303,65.09858186039521,66.53015054545466,0.40807094695631135
RBFR,65.79 +0.108/-0.229,65.79045556618145,65.56133606433099,65.89797224299235,0.09220742691278769
RBEB,66.1338 +0.04/-0.0845,66.13379195220129,66.04925509055028,66.17378819437403,0.033456062020261766
RBFQ,66.254 +0.241/-0.499,66.25445648931833,65.75551122894109,66.49592177844603,0.22767880941803464
