Sample,Date,Uncertainty
DEC13-08,65.574,0.044
DEC13-08,65.58,0.13
DEC13-08,65.6,0.045
DEC13-08,65.622,0.092
DEC13-08,65.631,0.029
DEC13-08,65.635,0.046
DEC13-08,65.655,0.032
DEC13-08,65.66,0.12
DEC13-08,65.677,0.071
DEC13-08,65.677,0.039
DEC13-08,65.681,0.031
DEC13-08,65.688,0.052
DEC13-08,65.689,0.042
DEC13-08,65.706,0.033
DEC13-08,65.723,0.06
DEC13-08,65.737,0.069
DEC13-08,65.766,0.087
DEC13-08,65.57,0.051
DEC13-08,65.59,0.043
DEC13-08,65.597,0.037
DEC13-08,65.598,0.051
DEC13-08,65.612,0.032
DEC13-08,65.614,0.034
DEC13-08,65.631,0.027
DEC13-08,65.637,0.041
DEC13-08,65.637,0.034
DEC13-08,65.641,0.041
DEC13-08,65.649,0.047
DEC13-08,65.65,0.11
DEC13-08,65.656,0.028
DEC13-08,65.66,0.027
DEC13-08,65.661,0.054
DEC13-08,65.663,0.062
DEC13-08,65.67,0.16
DEC13-08,65.719,0.047
DEC13-08,65.5,0.16
DEC13-08,65.53,0.1
DEC13-08,65.54,0.13
DEC13-08,65.584,0.051
DEC13-08,65.59,0.087
DEC13-08,65.596,0.038
DEC13-08,65.609,0.084
DEC13-08,65.643,0.073
DEC13-08,65.647,0.05
DEC13-08,65.655,0.081
DEC13-08,65.66,0.13
DEC13-08,65.665,0.026
DEC13-08,65.72,0.11
DEC13-08,65.73,0.21
DEC13-08,65.74,0.11
DEC13-08,65.82,0.21
DEC13-08,65.87,0.16
DEC13-30,66.278,0.039
DEC13-30,66.293,0.058
DEC13-30,66.322,0.037
DEC13-30,66.346,0.053
DEC13-30,66.383,0.032
DEC13-30,66.459,0.043
DEC13-30,66.47,0.12
RBAB,66.26,0.11
RBAB,66.38,0.2
RBAB,66.395,0.044
RBAB,66.46,0.26
RBAB,66.51,0.75
RBAB,66.64,0.85
RBAG,65.95,0.38
RBAG,66.1,0.38
RBAG,66.16,0.13
RBAG,66.18,0.57
RBAG,66.18,0.21
RBAG,66.2,0.33
RBAG,66.22,0.32
RBAG,66.26,0.2
RBBF,65.86,0.37
RBBF,65.9,0.15
RBBF,65.92,0.19
RBBF,65.97,0.13
RBBF,65.98,0.23
RBBF,65.985,0.045
RBBF,65.99,0.07
RBBF,65.99,0.4
RBBF,66.01,0.28
RBBF,66.02,0.13
RBBF,66.02,0.13
RBBF,66.053,0.075
RBBF,66.06,0.35
RBBF,66.065,0.053
RBBF,66.08,0.13
RBBF,66.09,0.21
RBBF,66.12,0.47
RBBF,66.14,0.27
RBBF,66.18,0.37
RBBF,66.29,0.19
RBBF,66.35,0.14
RBAN,65.823,0.097
RBAN,65.88,0.36
RBAN,66.05,0.47
RBAO,65.872,0.089
RBAO,65.92,0.16
RBAO,65.92,0.61
RBAO,65.93,0.14
RBAO,65.94,0.28
RBAO,65.96,0.24
RBAO,66.03,0.24
RBAO,66.078,0.097
RBAO,66.22,0.74
RBAO,66.23,0.27
RBAO,66.32,0.79
RBAW,65.79,0.49
RBAW,66.041,0.084
RBAW,66.08,0.19
RBAW,66.09,0.16
RBAW,66.1,0.11
RBAW,66.22,0.47
RBAW,66.57,0.97
RBAW,67.2,0.43
RBAY,65.77,0.22
RBAY,65.81,0.12
RBAY,65.84,0.045
RBAY,65.85,0.1
RBAY,65.9,0.84
RBAY,65.91,0.16
RBAY,65.96,0.61
RBAY,65.96,0.11
RBAY,65.99,0.14
RBAY,66,0.26
RBAY,66.03,0.14
RBB2,65.909,0.062
RBB2,65.95,0.16
RBB2,65.957,0.057
RBB2,65.96,0.22
RBB2,65.96,0.1
RBBR,65.995,0.096
RBBR,66.004,0.074
RBBR,66.034,0.065
RBBR,66.038,0.086
RBBR,66.04,0.16
RBBR,66.124,0.094
RBBR,66.215,0.086
